,rf_daily
2017-12-28,9.527560500139624e-05
2017-12-29,9.411320086236534e-05
2018-01-02,9.643766874192388e-05
2018-01-03,9.566299739378216e-05
2018-01-04,9.643766874192388e-05
2018-01-05,9.682494771244096e-05
2018-01-08,9.75993922832545e-05
2018-01-09,9.99218195646759e-05
2018-01-10,9.99218195646759e-05
2018-01-11,9.953484272802874e-05
2018-01-12,9.99218195646759e-05
2018-01-16,9.953484272802874e-05
2018-01-17,0.00010069566004455674
2018-01-18,0.00010262960129256893
2018-01-19,0.00010340291396543492
2018-01-22,0.00010417607596851468
2018-01-23,0.00010301627646639533
2018-01-24,0.00010378951379702849
2018-01-25,0.00010301627646639533
2018-01-26,0.00010417607596851468
2018-01-29,0.0001057219482000837
2018-01-30,0.00010688095730190889
2018-01-31,0.00010649465854587216
2018-02-01,0.00010881188720631833
2018-02-02,0.00011112776353014819
2018-02-05,0.00010842577638448576
2018-02-06,0.0001091979604632511
2018-02-07,0.00011112776353014819
2018-02-08,0.0001115136115510904
2018-02-09,0.00011074187798812646
2018-02-12,0.00011189942205824895
2018-02-13,0.00011074187798812646
2018-02-14,0.00011382791214249548
2018-02-15,0.00011344228909489076
2018-02-16,0.00011228519505891767
2018-02-20,0.0001126709305603882
2018-02-21,0.00011498455649411583
2018-02-22,0.00011421349772004741
2018-02-23,0.0001126709305603882
2018-02-26,0.00011189942205824895
2018-02-27,0.00011344228909489076
2018-02-28,0.00011228519505891767
2018-03-01,0.00010996999431165
2018-03-02,0.00011189942205824895
2018-03-05,0.0001126709305603882
2018-03-06,0.0001126709305603882
2018-03-07,0.0001130566285699501
2018-03-08,0.00011189942205824895
2018-03-09,0.00011344228909489076
2018-03-12,0.00011228519505891767
2018-03-13,0.00011112776353014819
2018-03-14,0.00010996999431165
2018-03-15,0.00011035595491772711
2018-03-16,0.0001115136115510904
2018-03-19,0.0001115136115510904
2018-03-20,0.0001130566285699501
2018-03-21,0.0001130566285699501
2018-03-22,0.00011074187798812646
2018-03-23,0.00011035595491772711
2018-03-26,0.0001115136115510904
2018-03-27,0.00010881188720631833
2018-03-28,0.00010842577638448576
2018-03-29,0.00010726721845647031
2018-04-02,0.00010688095730190889
2018-04-03,0.0001091979604632511
2018-04-04,0.0001091979604632511
2018-04-05,0.00011074187798812646
2018-04-06,0.00010842577638448576
2018-04-09,0.00010881188720631833
2018-04-10,0.00010958399616259281
2018-04-11,0.0001091979604632511
2018-04-12,0.00011074187798812646
2018-04-13,0.00011035595491772711
2018-04-16,0.00011074187798812646
2018-04-17,0.00011035595491772711
2018-04-18,0.00011228519505891767
2018-04-19,0.00011421349772004741
2018-04-20,0.00011575546547531716
2018-04-23,0.0001165262247218412
